Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Kecamatan,Page
450 Juta,2,1,2,LT : 65 m²,LB : 32 m²,Citayam,579
550 Juta,2,1,2,LT : 62 m²,LB : 45 m²,Bojong Sari,579
600 Juta,2,2,2,LT : 50 m²,LB : 50 m²,Sawangan,579
4 Miliar,6,6,2,LT : 838 m²,LB : 500 m²,Beji,579
"1,3 Miliar",3,3,2,LT : 97 m²,LB : 110 m²,Pancoran Mas,579
405 Juta,3,1,2,LT : 65 m²,LB : 36 m²,Cipayung,579
"1,03 Miliar",3,3,2,LT : 67 m²,LB : 74 m²,Cilodong,579
695 Juta,2,2,2,LT : 40 m²,LB : 53 m²,Cilodong,579
"3,38 Miliar",4,4,2,LT : 200 m²,LB : 200 m²,Cinere,579
424 Juta,2,1,2,LT : 52 m²,LB : 32 m²,Sawangan,579
650 Juta,3,2,2,LT : 64 m²,LB : 40 m²,Sawangan,579
885 Juta,3,2,2,LT : 58 m²,LB : 76 m²,Sawangan,579
885 Juta,3,2,2,LT : 58 m²,LB : 76 m²,Cinangka,579
480 Juta,2,1,1,LT : 79 m²,LB : 55 m²,Cimanggis,580
815 Juta,3,2,2,LT : 48 m²,LB : 86 m²,Sawangan,580
815 Juta,3,2,2,LT : 48 m²,LB : 86 m²,Cinangka,580
423 Juta Total,LT:141 m²,,,,,Bojong Sari,580
1 Miliar,3,2,1,LT : 107 m²,LB : 160 m²,Cimanggis,580
"3,2 Miliar",7,4,2,LT : 410 m²,LB : 200 m²,Cinere,580
965 Juta Total,LT:121 m²,,,,,Limo,580
"6,5 Miliar",21,19,LT:200 m²,LB : 400 m²,,Cinere,580
"1,25 Miliar",3,2,1,LT : 104 m²,LB : 190 m²,Beji,580
"1,3 Miliar",3,3,2,LT : 84 m²,LB : 77 m²,Margonda,580
47 Juta,2,1,1,LT : 63 m²,LB : 40 m²,Bojong Sari,580
"454,4 Juta Total",LT:142 m²,,,,,Depok II,580
"2,3 Miliar",4,4,2,LT : 128 m²,LB : 149 m²,Depok I,580
566 Juta,2,2,2,LT : 56 m²,LB : 60 m²,Cimanggis,580
975 Juta,4,3,2,LT : 64 m²,LB : 103 m²,Depok II,580
"7,2 Miliar",3,3,1,LT : 360 m²,LB : 225 m²,Cinere,580
655 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Cilodong,580
"1,02 Miliar",2,1,2,LT : 206 m²,LB : 66 m²,Cinere,580
"1,35 Miliar",4,2,2,LT : 108 m²,LB : 120 m²,Cimanggis,580
"2,4 Miliar",4,4,2,LT : 210 m²,LB : 148 m²,Pangkalan Jati,580
350 Juta Total,LT:100 m²,,,,,Harjamukti,581
"1,5 Miliar",3,2,1,LT : 230 m²,LB : 150 m²,Beji,581
799 Juta,3,3,1,LT : 72 m²,LB : 72 m²,Pancoran Mas,581
450 Juta Total,LT:85 m²,,,,,Cilodong,581
"1,35 Miliar",4,3,1,LT : 143 m²,LB : 143 m²,Sukmajaya,581
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,581
"1,65 Miliar",3,3,2,LT : 83 m²,LB : 160 m²,Cinere,581
800 Juta,3,2,1,LT : 52 m²,LB : 72 m²,Cimanggis,581
"1,5 Miliar",3,2,2,LT : 83 m²,LB : 100 m²,Beji,581
560 Juta,2,LT:61 m²,LB:45 m²,,,Gandul,581
900 Juta,3,2,1,LT : 64 m²,LB : 70 m²,Beji,581
"4,5 Miliar",5,4,2,LT : 600 m²,LB : 400 m²,Cinere,581
423 Juta Total,LT:141 m²,,,,,Grand Depok City,581
"1,19 Miliar",4,2,1,LT : 65 m²,LB : 90 m²,Sawangan,581
5 Miliar,5,5,4,LT : 613 m²,LB : 625 m²,Cimanggis,581
900 Juta,2,1,1,LT : 98 m²,LB : 46 m²,Sawangan,581
5 Juta /m²,1,LT:19000 m²,LB:3500 m²,,,Cilodong,581
30 Miliar,68,68,LT:1725 m²,LB : 1885 m²,,Beji,581
"3,87 Miliar",6,4,1,LT : 321 m²,LB : 500 m²,Cinere,581
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,581
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,582
"2,5 Miliar",5,4,1,LT : 216 m²,LB : 180 m²,Cinere,582
"9,75 Miliar Total",LT:730 m²,,,,,Cibubur,582
"1,3 Miliar",3,2,2,LT : 105 m²,LB : 135 m²,Depok I,582
"15,8 Miliar Total",LT:2100 m²,,,,,Margonda,582
"1,2 Miliar Total",LT:131 m²,,,,,Cinere,582
38 Miliar Total,1,50,LT:2341 m²,LB : 837 m²,,Cimanggis,582
"1,2 Miliar Total",LT:131 m²,,,,,Cinere,582
3 Miliar,4,4,1,LT : 200 m²,LB : 243 m²,Cinere,582
2 Miliar,3,2,2,LT : 104 m²,LB : 110 m²,Cinere,582
"62,5 Miliar Total",LT:25000 m²,,,,,Sawangan,582
"2,8 Miliar Total",4,2,LT:100 m²,LB : 300 m²,,Depok I,582
650 Juta,LT:71 m²,LB:55 m²,,,,Kukusan,582
"2,7 Miliar",4,2,LT:210 m²,LB : 200 m²,,Sukmajaya,582
900 Juta,3,2,1,LT : 80 m²,LB : 55 m²,Cinere,582
"11,5 Miliar",6,6,2,LT : 400 m²,LB : 700 m²,Cinere,582
3 Miliar,4,6,2,LT : 233 m²,LB : 260 m²,Depok I,582
490 Juta,1,LB:30 m²,,,,Margonda,582
4 Miliar,3,2,LT:593 m²,LB : 154 m²,,Tapos,582
2 Miliar Total,2,LT:102 m²,LB:161 m²,,,Sukmajaya,582
5 Miliar Total,LT:800 m²,,,,,Cimanggis,583
790 Juta,2,2,LT:45 m²,LB : 65 m²,,Cimanggis,583
893 Juta,2,2,2,LT : 69 m²,LB : 80 m²,Cinere,583
"1,7 Miliar",4,4,2,LT : 70 m²,LB : 140 m²,Cinere,583
3 Miliar,4,4,1,LT : 300 m²,LB : 166 m²,Cinere,583
9 Miliar,4,6,8,LT : 500 m²,LB : 600 m²,Cinere,583
"1,1 Miliar",3,3,1,LT : 70 m²,LB : 80 m²,Sukmajaya,583
990 Juta,3,2,2,LT : 62 m²,LB : 65 m²,Limo,583
950 Juta,5,2,1,LT : 86 m²,LB : 114 m²,Cilodong,583
899 Juta,3,2,1,LT : 90 m²,LB : 150 m²,Sukmajaya,583
"1,5 Miliar",3,3,1,LT : 72 m²,LB : 74 m²,Cinere,583
940 Juta,3,2,1,LT : 54 m²,LB : 85 m²,Pancoran Mas,583
940 Juta,3,3,2,LT : 60 m²,LB : 72 m²,Cibubur,583
"15,3 Miliar Total",LT:1800 m²,,,,,Pancoran Mas,583
"3,95 Miliar",3,3,4,LT : 432 m²,LB : 320 m²,Cinere,583
"7,8 Miliar Total",LT:2600 m²,,,,,Pancoran Mas,583
780 Juta,3,2,1,LT : 400 m²,LB : 120 m²,Sawangan,583
652 Juta,2,2,2,LT : 78 m²,LB : 54 m²,Limo,583
680 Juta,2,1,LT:78 m²,LB : 36 m²,,Cilodong,583
"3,5 Miliar",3,2,2,LT : 234 m²,LB : 150 m²,Sawangan,583
590 Juta,2,2,LT:93 m²,LB : 43 m²,,Sawangan,584
"1,44 Miliar",3,2,LT:150 m²,LB : 120 m²,,Cimanggis,584
395 Juta,1,1,LT:1 m²,LB : 120 m²,,Margonda,584
600 Juta,2,2,1,LT : 50 m²,LB : 50 m²,Sawangan,584
470 Juta,3,2,1,LT : 48 m²,LB : 72 m²,Cilodong,584
550 Juta,2,1,LT:74 m²,LB : 36 m²,,Cilodong,584
800 Juta,1,1,LB:36 m²,,,Depok II,584
"1,8 Miliar",4,2,1,LT : 157 m²,LB : 110 m²,Cinere,584
950 Juta,3,3,1,LT : 84 m²,LB : 110 m²,Cinere,584
"1,2 Miliar Total",2,2,LT:80 m²,LB : 80 m²,,Cimanggis,584
630 Juta,2,1,1,LT : 70 m²,LB : 36 m²,Cimanggis,584
"1,24 Miliar",3,3,2,LT : 78 m²,LB : 90 m²,Cilodong,584
185 Juta,2,2,1,LT : 42 m²,LB : 33 m²,Citayam,584
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,584
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,584
930 Juta Total,LT:1000 m²,,,,,Grand Depok City,584
"1,2 Miliar",3,2,1,LT : 90 m²,LB : 60 m²,Beji,584
"2,45 Miliar",10,10,1,LT : 68 m²,LB : 195 m²,Beji,584
"1,8 Miliar",3,4,2,LT : 144 m²,LB : 130 m²,Sawangan,584
"2,37 Miliar",5,4,3,LT : 360 m²,LB : 180 m²,Gandul,584
870 Juta,3,2,1,LT : 60 m²,LB : 70 m²,Beji,585
"3,2 Miliar",4,5,1,LT : 180 m²,LB : 250 m²,Harjamukti,585
"2,75 Miliar",3,2,1,LT : 230 m²,LB : 242 m²,Cinere,585
"3,25 Miliar",4,3,1,LT : 240 m²,LB : 260 m²,Cinere,585
900 Juta,4,2,2,LT : 95 m²,LB : 80 m²,Sawangan,585
950 Juta,3,2,2,LT : 79 m²,LB : 75 m²,Limo,585
950 Juta,3,2,2,LT : 79 m²,LB : 75 m²,Sawangan,585
970 Juta,3,3,2,LT : 64 m²,LB : 90 m²,Sukmajaya,585
775 Juta,2,2,2,LT : 77 m²,LB : 60 m²,Sawangan,585
750 Juta,3,2,2,LT : 66 m²,LB : 65 m²,Sawangan,585
850 Juta,3,2,1,LT : 90 m²,LB : 70 m²,Pancoran Mas,585
470 Juta,1,LB:18 m²,,,,Beji,585
"1,4 Miliar",3,2,1,LT : 120 m²,LB : 90 m²,Beji,585
"1,08 Miliar",3,3,2,LT : 77 m²,LB : 90 m²,Cilodong,585
"1,18 Miliar",3,3,2,LT : 74 m²,LB : 90 m²,Cilodong,585
"2,9 Miliar",3,2,1,LT : 135 m²,LB : 170 m²,Pangkalan Jati,585
"1,7 Miliar",3,2,1,LT : 188 m²,LB : 155 m²,Bojong Sari,585
300 Juta,2,1,1,LT : 40 m²,LB : 38 m²,Cilodong,585
"1,1 Miliar Total",3,2,LT:75 m²,LB : 220 m²,,Sukmajaya,585
"1,3 Miliar",3,2,2,LT : 106 m²,LB : 70 m²,Cinangka,585
450 Juta,2,1,LT:84 m²,LB : 75 m²,,Cipayung,586
890 Juta,3,2,1,LT : 84 m²,LB : 70 m²,Sawangan,586
375 Juta,1,LB:22 m²,,,,Beji,586
"4,4 Miliar Total",LT:625 m²,,,,,Margonda,586
"1,22 Miliar",2,2,1,LT : 90 m²,LB : 90 m²,Cibubur,586
"1,8 Miliar",5,3,2,LT : 120 m²,LB : 220 m²,Sukmajaya,586
3 Miliar,6,6,LT:214 m²,LB : 350 m²,,Cibubur,586
800 Miliar Total,50,LT:147000 m²,LB:450000 m²,,,Cimanggis,586
11 Miliar,6,6,1,LT : 391 m²,LB : 410 m²,Cibubur,586
"1,2 Miliar Total",LT:398 m²,,,,,Cibubur,586
"2,2 Miliar",4,4,1,LT : 150 m²,LB : 225 m²,Harjamukti,586
550 Juta,2,1,1,LT : 83 m²,LB : 46 m²,Sawangan,586
"1,65 Miliar",4,1,1,LT : 110 m²,LB : 170 m²,Cimanggis,586
"1,53 Miliar",3,3,2,LT : 107 m²,LB : 120 m²,Harjamukti,586
1 Miliar,2,1,4,LT : 206 m²,LB : 66 m²,Cinere,586
7 Miliar Total,LT:2000 m²,,,,,Sawangan,586
"1,85 Miliar",5,4,1,LT : 120 m²,LB : 200 m²,Beji,586
725 Juta,3,2,1,LT : 50 m²,LB : 74 m²,Cipayung,586
"1,2 Miliar",2,1,1,LT : 120 m²,LB : 45 m²,Sukmajaya,586
"1,15 Miliar",3,2,1,LT : 80 m²,LB : 120 m²,Cinangka,586
"1,2 Miliar Total",1,LT:78 m²,LB:40 m²,,,Tapos,587
600 Juta,2,1,1,LT : 60 m²,LB : 40 m²,Pancoran Mas,587
500 Juta,2,1,1,LT : 56 m²,LB : 36 m²,Sawangan,587
16 Miliar,7,6,4,LT : 1200 m²,LB : 1000 m²,Cinere,587
"1,58 Miliar",4,3,2,LT : 82 m²,LB : 100 m²,Cimanggis,587
800 Juta,3,2,2,LT : 60 m²,LB : 75 m²,Harjamukti,587
828 Juta Total,LT:138 m²,,,,,Limo,587
"1,3 Miliar Total",LT:538 m²,,,,,Limo,587
410 Juta,2,1,1,LT : 72 m²,LB : 36 m²,Bojong Sari,587
750 Juta,3,1,LT:72 m²,LB : 84 m²,,Limo,587
762 Juta,3,2,1,LT : 52 m²,LB : 60 m²,Krukut,587
"3,75 Miliar",5,3,2,LT : 396 m²,LB : 252 m²,Cinere,587
1 Miliar,3,2,2,LT : 121 m²,LB : 81 m²,Cimanggis,587
780 Juta,3,2,2,LT : 52 m²,LB : 70 m²,Cimanggis,587
650 Juta,3,2,2,LT : 53 m²,LB : 60 m²,Cimanggis,587
900 Juta,3,2,2,LT : 80 m²,LB : 70 m²,Cimanggis,587
700 Juta,3,2,2,LT : 70 m²,LB : 60 m²,Cimanggis,587
"2,4 Miliar",4,4,2,LT : 128 m²,LB : 149 m²,Sawangan,587
500 Juta,2,1,2,LT : 64 m²,LB : 40 m²,Cimanggis,587
500 Juta,2,1,2,LT : 75 m²,LB : 36 m²,Cimanggis,587
"2,9 Miliar Total",LT:480 m²,,,,,Cimanggis,588
650 Juta,2,2,1,LT : 78 m²,LB : 54 m²,Pancoran Mas,588
"2,2 Miliar",4,4,2,LT : 134 m²,LB : 280 m²,Limo,588
"2,35 Miliar",4,3,2,LT : 100 m²,LB : 116 m²,Cinere,588
"1,6 Miliar",3,2,1,LT : 84 m²,LB : 110 m²,Cinere,588
380 Juta,2,1,1,LT : 60 m²,LB : 40 m²,Pancoran Mas,588
450 Juta,2,1,LT:120 m²,LB : 36 m²,,Depok I,588
"2,9 Miliar",3,3,LT:161 m²,LB : 116 m²,,Cimanggis,588
"9,5 Miliar",4,4,5,LT : 717 m²,LB : 450 m²,Cinere,588
630 Juta,2,1,1,LT : 60 m²,LB : 40 m²,Cinere,588
"1,62 Miliar",3,2,2,LT : 84 m²,LB : 65 m²,Sawangan,588
"2,2 Miliar Total",LT:246 m²,,,,,Beji,588
"1,7 Miliar",3,2,1,LT : 105 m²,LB : 110 m²,Cinere,588
"1,4 Miliar Total",LT:168 m²,,,,,Cinere,588
"1,3 Miliar",LT:143 m²,,,,,Cinere,588
224 Miliar Total,LT:32000 m²,,,,,Krukut,588
3 Miliar,5,2,2,LT : 300 m²,LB : 400 m²,Beji,588
"2,7 Miliar",5,4,LT:178 m²,LB : 216 m²,,Cilodong,588
"1,3 Miliar",LT:143 m²,,,,,Cinere,588
224 Miliar Total,LT:32000 m²,,,,,Krukut,588
270 Juta,2,LB:24 m²,,,,Margonda,589
850 Juta,3,3,LT:87 m²,LB : 90 m²,,Beji,589
800 Juta,3,3,LT:125 m²,LB : 125 m²,,Pancoran Mas,589
980 Juta,3,2,1,LT : 118 m²,LB : 118 m²,Beji,589
"15,8 Miliar Total",LT:1054 m²,,,,,Sawangan,589
990 Juta,3,2,1,LT : 74 m²,LB : 94 m²,Cinere,589
876 Juta,3,2,2,LT : 64 m²,LB : 64 m²,Sawangan,589
2 Miliar,3,2,LT:158 m²,LB : 130 m²,,Pancoran Mas,589
800 Juta,3,2,LT:120 m²,LB : 120 m²,,Pancoran Mas,589
"1,8 Miliar",4,2,2,LT : 236 m²,LB : 183 m²,Cilodong,589
700 Juta,2,2,1,LT : 93 m²,LB : 54 m²,Beji,589
"1,5 Miliar Total",LT:500 m²,,,,,Pancoran Mas,589
"5,7 Miliar Total",LT:1227 m²,,,,,Beji,589
315 Juta Total,LT:74 m²,,,,,Bojong Sari,589
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,589
850 Juta,4,3,2,LT : 110 m²,LB : 110 m²,Sawangan,589
"2,9 Miliar",3,3,1,LT : 186 m²,LB : 250 m²,Cinere,589
"3,5 Miliar",3,3,1,LT : 214 m²,LB : 102 m²,Pangkalan Jati,589
"2,3 Miliar",4,3,1,LT : 154 m²,LB : 250 m²,Cinere,589
423 Juta Total,LT:141 m²,,,,,Depok I,589
"3,5 Miliar",6,5,2,LT : 518 m²,LB : 503 m²,Cinere,590
"297,5 Miliar Total",LT:85000 m²,,,,,Sawangan,590
"1,7 Miliar",5,3,1,LT : 90 m²,LB : 120 m²,Krukut,590
"1,7 Miliar",4,3,1,LT : 105 m²,LB : 110 m²,Gandul,590
"5,67 Miliar Total",LT:378 m²,,,,,Pancoran Mas,590
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,590
303 Juta,2,1,1,LT : 48 m²,LB : 45 m²,Cilodong,590
"1,6 Miliar",3,3,2,LT : 96 m²,LB : 103 m²,Bojong Sari,590
"7,8 Miliar Total",LT:2600 m²,,,,,Rangkapanjaya,590
"7,8 Miliar Total",LT:2600 m²,,,,,Rangkapanjaya,590
"7,2 Miliar",3,3,3,LT : 360 m²,LB : 225 m²,Pangkalan Jati,590
650 Juta,3,2,1,LT : 40 m²,LB : 60 m²,Tapos,590
525 Juta,1,1,LB:25 m²,,,Margonda,590
"1,77 Miliar",3,2,LT:100 m²,LB : 83 m²,,Cimanggis,590
"1,05 Miliar",2,1,LT:121 m²,LB : 55 m²,,Pancoran Mas,590
990 Juta,2,1,LT:91 m²,LB : 58 m²,,Beji,590
720 Juta,2,1,LT:90 m²,LB : 36 m²,,Citayam,590
1 Miliar,2,1,LT:90 m²,LB : 45 m²,,Sukmajaya,590
720 Juta,2,1,LT:90 m²,LB : 36 m²,,Cilodong,590
"1,5 Miliar",3,2,LT:105 m²,LB : 140 m²,,Limo,590
"1,55 Miliar",4,2,LT:160 m²,LB : 71 m²,,Cimanggis,591
"1,66 Miliar",2,1,LT:112 m²,LB : 46 m²,,Bojong Sari,591
890 Juta,3,3,LT:99 m²,LB : 120 m²,,Cilodong,591
"1,94 Miliar",3,2,LT:170 m²,LB : 140 m²,,Limo,591
"1,94 Miliar",3,3,LT:116 m²,LB : 175 m²,,Cilodong,591
"3,1 Miliar",4,4,LT:178 m²,LB : 256 m²,,Cilodong,591
"1,22 Miliar",2,2,LT:73 m²,LB : 56 m²,,Bojong Sari,591
720 Juta,4,2,LT:84 m²,LB : 100 m²,,Bojong Sari,591
720 Juta,2,1,LT:72 m²,LB : 45 m²,,Bojong Sari,591
700 Juta,2,1,LT:78 m²,LB : 45 m²,,Bojong Sari,591
590 Juta,2,1,LT:78 m²,LB : 78 m²,,Bojong Sari,591
"2,1 Miliar",3,4,LT:100 m²,LB : 135 m²,,Cinere,591
"2,77 Miliar",3,2,LT:87 m²,LB : 144 m²,,Cinere,591
650 Juta,2,1,1,LT : 103 m²,LB : 75 m²,Depok I,591
680 Juta,2,1,1,LT : 76 m²,LB : 52 m²,Depok I,591
"1,35 Miliar",4,3,2,LT : 80 m²,LB : 107 m²,Bojong Sari,591
"1,35 Miliar",3,3,LT:110 m²,LB : 150 m²,,Sukmajaya,591
"2,3 Miliar",3,2,2,LT : 200 m²,LB : 135 m²,Cinere,591
"3,7 Miliar",5,4,2,LT : 150 m²,LB : 220 m²,Cinere,591
"2,95 Miliar",5,4,2,LT : 150 m²,LB : 230 m²,Cinere,591
500 Juta,2,1,LB:30 m²,,,Gandul,592
"1,5 Miliar",3,2,1,LT : 92 m²,LB : 110 m²,Cinere,592
900 Juta,1,2,1,LT : 54 m²,LB : 90 m²,Tanah Baru,592
299 Juta,2,1,LT:60 m²,LB : 36 m²,,Cinere,592
3 Miliar,4,3,2,LT : 150 m²,LB : 230 m²,Cinere,592
2 Miliar,5,2,1,LT : 128 m²,LB : 240 m²,Beji,592
"3,4 Miliar",3,3,2,LT : 183 m²,LB : 108 m²,Cimanggis,592
775 Juta,3,2,1,LT : 150 m²,LB : 90 m²,Sawangan,592
530 Juta,2,1,LT:72 m²,LB : 50 m²,,Cilodong,592
"3,3 Miliar",2,2,LT:156 m²,LB : 250 m²,,Cinere,592
"2,76 Miliar",3,3,1,LT : 168 m²,LB : 140 m²,Cimanggis,592
762 Juta,3,2,1,LT : 52 m²,LB : 60 m²,Depok I,592
878 Juta,3,2,2,LT : 66 m²,LB : 66 m²,Sawangan,592
650 Juta,2,1,1,LT : 60 m²,LB : 36 m²,Depok I,592
800 Juta,1,1,2,LT : 191 m²,LB : 50 m²,Cilodong,592
650 Juta,2,1,2,LT : 120 m²,LB : 50 m²,Depok I,592
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,592
750 Juta,2,1,1,LT : 87 m²,LB : 60 m²,Tanah Baru,592
26 Miliar Total,LT:1189 m²,,,,,Cinere,592
224 Miliar Total,LT:32000 m²,,,,,Krukut,592
6 Miliar,3,2,2,LT : 1024 m²,LB : 439 m²,Cinere,593
"1,53 Miliar",3,3,2,LT : 107 m²,LB : 120 m²,Cimanggis,593
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,593
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,593
"1,49 Miliar",4,2,1,LT : 142 m²,LB : 110 m²,Depok II,593
"7,6 Miliar Total",LT:6372 m²,,,,,Sawangan,593
600 Juta,2,1,2,LT : 75 m²,LB : 45 m²,Cinangka,593
"1,95 Miliar",4,4,1,LT : 180 m²,LB : 150 m²,Harjamukti,593
560 Juta,2,1,2,LT : 64 m²,LB : 45 m²,Cinangka,593
"1,77 Miliar",4,5,2,LT : 100 m²,LB : 135 m²,Limo,593
"1,75 Miliar",4,3,1,LT : 121 m²,LB : 144 m²,Harjamukti,593
"10,8 Miliar Total",LT:3090 m²,,,,,Sawangan,593
14 Miliar,7,6,14,LT : 1060 m²,LB : 630 m²,Cibubur,593
"4,8 Miliar Total",LT:2193 m²,,,,,Cilodong,593
"3,8 Miliar Total",LT:1076 m²,,,,,Beji,593
"2,1 Miliar Total",2,LT:180 m²,LB:368 m²,,,Sawangan,593
"4,4 Miliar Total",LT:553 m²,,,,,Cipayung,593
648 Juta Total,LT:81 m²,,,,,Krukut,593
975 Juta,2,2,1,LT : 105 m²,LB : 100 m²,Tapos,593
335 Juta,2,1,1,LT : 62 m²,LB : 45 m²,Cipayung,593
"2,85 Miliar",4,2,LT:300 m²,LB : 250 m²,,Cinere,594
250 Juta,2,1,1,LT : 50 m²,LB : 40 m²,Citayam,594
"2,6 Miliar",3,3,2,LT : 130 m²,LB : 180 m²,Cibubur,594
"1,8 Miliar",4,3,2,LT : 128 m²,LB : 130 m²,Cimanggis,594
"1,9 Miliar",5,3,2,LT : 144 m²,LB : 288 m²,Grand Depok City,594
465 Juta Total,LT:500 m²,,,,,Depok II,594
850 Juta,3,2,1,LT : 119 m²,LB : 70 m²,Sawangan,594
465 Juta Total,LT:500 m²,,,,,Grand Depok City,594
465 Miliar Total,LT:500 m²,,,,,Grand Depok City,594
372 Juta Total,LT:400 m²,,,,,Grand Depok City,594
"1,8 Miliar",4,4,1,LT : 197 m²,LB : 105 m²,Pancoran Mas,594
870 Juta,2,1,1,LT : 90 m²,LB : 45 m²,Cimanggis,594
"5,3 Miliar",4,4,LT:183 m²,LB : 167 m²,,Cinere,594
465 Juta Total,LT:500 m²,,,,,Grand Depok City,594
900 Juta,4,3,1,LT : 90 m²,LB : 115 m²,Cinangka,594
465 Juta Total,LT:500 m²,,,,,Depok I,594
1 Miliar,3,3,1,LT : 77 m²,LB : 90 m²,Grand Depok City,594
800 Juta,3,1,LT:235 m²,LB : 96 m²,,Bojong Sari,594
"8,1 Miliar Total",LT:1402 m²,,,,,Cinere,594
"2,9 Miliar",3,2,2,LT : 160 m²,LB : 170 m²,Cinere,594
"1,65 Miliar Total",1,LT:80 m²,LB:105 m²,,,Tanah Baru,595
"5,5 Miliar Total",LT:553 m²,,,,,Depok I,595
"1,77 Miliar",5,4,2,LT : 100 m²,LB : 135 m²,Pangkalan Jati,595
"5,5 Miliar Total",2,LT:615 m²,LB:450 m²,,,Cimanggis,595
880 Juta,3,2,1,LT : 52 m²,LB : 80 m²,Margonda,595
"1,77 Miliar",4,5,2,LT : 100 m²,LB : 135 m²,Limo,595
"4,5 Juta /m²",5,LT:4191 m²,LB:1000 m²,,,Tapos,595
"1,39 Miliar",4,4,1,LT : 120 m²,LB : 170 m²,Tapos,595
"3,3 Miliar",5,5,2,LT : 200 m²,LB : 200 m²,Cinere,595
"1,77 Miliar",4,5,2,LT : 100 m²,LB : 135 m²,Cinere,595
500 Juta Total,LT:102 m²,,,,,Rangkapanjaya,595
"1,15 Miliar",2,1,1,LT : 102 m²,LB : 80 m²,Cibubur,595
291 Juta,2,1,1,LT : 50 m²,LB : 36 m²,Sawangan,595
290 Juta,2,1,1,LT : 50 m²,LB : 36 m²,Sawangan,595
293 Juta,2,1,1,LT : 50 m²,LB : 36 m²,Sawangan,595
365 Juta,3,1,1,LT : 50 m²,LB : 45 m²,Sawangan,595
5 Miliar,5,4,1,LT : 505 m²,LB : 650 m²,Harjamukti,595
250 Juta,2,1,1,LT : 50 m²,LB : 40 m²,Citayam,595
250 Juta,2,1,1,LT : 50 m²,LB : 40 m²,Citayam,595
250 Juta,2,1,1,LT : 50 m²,LB : 40 m²,Citayam,595
250 Juta,2,1,1,LT : 50 m²,LB : 40 m²,Citayam,596
185 Juta,2,1,1,LT : 33 m²,LB : 42 m²,Citayam,596
500 Juta,2,1,1,LT : 60 m²,LB : 45 m²,Pasir Putih,596
"2,3 Miliar Total",LT:288 m²,,,,,Beji,596
"1,1 Miliar",2,3,1,LT : 105 m²,LB : 130 m²,Sawangan,596
"3,1 Miliar",3,2,1,LT : 178 m²,LB : 156 m²,Pangkalan Jati,596
"2,7 Miliar",3,2,2,LT : 124 m²,LB : 160 m²,Cimanggis,596
966 Juta,3,2,1,LT : 61 m²,LB : 70 m²,Kelapa Dua,596
695 Juta,3,2,1,LT : 50 m²,LB : 47 m²,Cimanggis,596
883 Juta,3,2,1,LT : 45 m²,LB : 61 m²,Cimanggis,596
927 Juta,3,2,1,LT : 50 m²,LB : 80 m²,Cimanggis,596
"1,25 Miliar",3,3,1,LT : 64 m²,LB : 120 m²,Beji,596
945 Juta,3,2,1,LT : 53 m²,LB : 70 m²,Beji,596
"1,34 Miliar",3,2,1,LT : 72 m²,LB : 84 m²,Beji,596
630 Juta,2,1,1,LT : 56 m²,LB : 40 m²,Beji,596
750 Juta,2,1,1,LT : 64 m²,LB : 45 m²,Beji,596
900 Juta,3,2,1,LT : 53 m²,LB : 70 m²,Beji,596
925 Juta,3,3,1,LT : 54 m²,LB : 75 m²,Beji,596
"3,85 Miliar Total",LT:701 m²,,,,,Limo,596
699 Juta,3,1,1,LT : 118 m²,LB : 118 m²,Sawangan,596
"1,7 Miliar",4,3,2,LT : 72 m²,LB : 170 m²,Beji,597
930 Juta,2,1,1,LT : 72 m²,LB : 45 m²,Sawangan,597
230 Juta,1,1,LB:20 m²,,,Beji,597
230 Juta,1,1,LB:20 m²,,,Beji,597
450 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,597
450 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,597
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,597
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,597
"2,2 Miliar",3,3,2,LT : 120 m²,LB : 160 m²,Cibubur,597
"1,9 Miliar",2,2,1,LT : 85 m²,LB : 89 m²,Tapos,597
"5,5 Miliar",5,5,1,LT : 300 m²,LB : 172 m²,Cibubur,597
450 Juta,2,1,LB:35 m²,,,Cimanggis,597
"1,2 Miliar",4,3,LT:84 m²,LB : 140 m²,,Depok II,597
"1,2 Miliar",4,3,LT:84 m²,LB : 140 m²,,Depok II,597
"1,15 Miliar",4,3,LT:91 m²,LB : 110 m²,,Depok II,597
